Time,England,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East of England,London,South East,South West,Wales,Scotland
2011,420000,245000,275000,272500,273964,300000,400000,725000,490000,377500,250000,280000
2012,410000,234930,263647,261000,265000,290000,390000,720000,475000,370000,249999,280000
2013,427000,240000,266500,269000,270000,297000,400000,777000,492000,375000,250000,278000
2014,445000,245000,275000,272500,275000,302000,420000,840000,499950,379815,250000,285000
2015,475000,250000,289000,285000,295000,325000,450000,915000,540000,400000,270000,309995
2016,501000,267500,300000,303500,317000,340000,487500,945000,575000,420000,280038,300000
2017,515000,277500,317000,316000,330000,360000,520000,955575,600000,440000,290000,300000
2018,535000,285000,330997,325000,350000,375000,550000,1047500,625000,465000,303000,315000
2019,535000,290000,337500,334995,365000,385000,550000,993225,630000,475000,310000,320000
2020,550000,299995,349018,345000,370000,390000,560000,1050000,643750,480000,320000,323000
2021,615000,320000,395000,387500,411602,443000,620000,1100000,725000,560000,355000,345995
